ADATA 1824 -2720 -15504
MDATA -212 -368 346
ADATA 1344 -1872 -18640
MDATA -232 -356 337
ADATA 2672 -80 -18080
MDATA -241 -352 331
ADATA 4000 -1008 -13520
MDATA -288 -339 321
ADATA 2560 -816 -16640
MDATA -321 -335 318
ADATA 1728 -384 -16992
MDATA -354 -309 311
ADATA 544 1056 -16000
MDATA -397 -296 304
ADATA 544 1824 -16000
MDATA -433 -262 283
ADATA 960 832 -15440
MDATA -464 -252 265
ADATA 1776 896 -16208
MDATA -458 -242 260
ADATA 3200 1024 -16080
MDATA -478 -212 254
ADATA 3616 1472 -15440
MDATA -499 -202 241
ADATA 3456 2048 -15392
MDATA -519 -183 240
ADATA 4480 1520 -16272
MDATA -514 -179 222
ADATA 4640 3136 -16256
MDATA -519 -195 214
ADATA 4240 5616 -15008
MDATA -494 -255 199
ADATA 4176 5776 -15296
MDATA -473 -289 186
ADATA 2752 6624 -13856
MDATA -465 -300 171
ADATA 1680 7168 -14816
MDATA -472 -295 177
ADATA 1856 7584 -14752
MDATA -488 -255 178
ADATA 3120 7440 -14160
MDATA -503 -237 192
ADATA 3344 7744 -13552
MDATA -520 -207 188
ADATA 4256 8752 -12544
MDATA -532 -163 187
ADATA 4560 10256 -11856
MDATA -542 -131 178
ADATA 6096 8576 -12016
MDATA -555 -98 175
ADATA 7520 7408 -12352
MDATA -561 -47 186
ADATA 7824 7104 -12688
MDATA -560 8 189
ADATA 8512 5440 -12880
MDATA -553 59 187
ADATA 9632 6816 -12080
MDATA -563 62 188
ADATA 9536 6672 -11904
MDATA -554 58 192
ADATA 7104 7664 -11600
MDATA -558 34 188
ADATA 7824 7584 -11856
MDATA -567 35 194
ADATA 8432 8192 -11440
MDATA -541 31 204
ADATA 8240 8000 -11568
MDATA -541 51 220
ADATA 8400 7856 -11712
MDATA -530 76 213
ADATA 9136 7312 -11568
MDATA -523 111 222
ADATA 9184 5264 -12016
MDATA -492 163 238
ADATA 9920 4672 -12624
MDATA -470 191 247
ADATA 9824 3792 -12640
MDATA -435 220 259
ADATA 10432 2720 -12720
MDATA -410 258 262
ADATA 10400 2080 -13392
MDATA -382 270 279
ADATA 9776 960 -13152
MDATA -357 294 280
ADATA 9600 1632 -13344
MDATA -310 325 297
ADATA 9440 640 -13424
MDATA -285 326 297
ADATA 9152 80 -13776
MDATA -261 340 304
ADATA 9312 -384 -13968
MDATA -264 340 304
ADATA 9552 -272 -13760
MDATA -268 333 306
ADATA 9664 256 -13968
MDATA -272 317 303
ADATA 9696 704 -13584
MDATA -289 321 303
ADATA 9520 1296 -13280
MDATA -323 303 293
ADATA 9600 6720 -12016
MDATA -538 97 202
ADATA 9664 7776 -11904
MDATA -557 54 188
ADATA 13952 8896 -10496
MDATA -570 -19 154
ADATA 7408 9840 -9856
MDATA -580 -76 136
ADATA 7552 10496 -10784
MDATA -568 -142 112
ADATA 6352 9616 -10736
MDATA -551 -216 97
ADATA 6352 9664 -10688
MDATA -511 -304 67
ERROR
ERROR
